appid,release_date
70000,2011-04-08
70100,2010-09-14
70110,2010-09-14
70120,2011-08-15
70200,2010-10-11
70210,2010-10-11
70300,2010-09-07
70400,2010-09-10
70420,2011-07-29
70500,2010-10-08
70600,2011-09-28
70620,2011-10-19
70640,2011-10-19
70650,2011-10-19
70660,2011-10-19
70900,2010-09-20
71000,2012-01-16
71230,2011-03-04
71240,2011-03-04
71260,2011-03-04
71340,2011-11-03
72000,2012-09-07
72400,2010-11-18
72850,2011-11-10
72900,2010-10-29
73010,2011-02-22
73060,2012-03-14
73170,2011-04-08
73190,2011-06-07
73210,2011-09-15
73220,2011-07-29
78000,2010-12-07
80000,2011-01-20
80200,2011-02-28
80300,2010-10-22
80310,2011-10-26
80330,2012-01-13
80340,2012-01-13
80350,2012-01-13
80360,2012-01-13
90200,2010-10-29
90400,2010-12-03
91100,2011-11-21
91200,2011-04-08
91330,2012-05-25
91600,2011-04-15
91700,2011-07-29
91800,2011-03-15
91810,2011-05-20
91900,2011-03-17
92000,2011-05-09
92100,2011-05-16
92200,2011-09-27
92210,2011-09-27
92220,2011-09-27
92300,2011-01-19
92400,2011-02-28
92600,2011-09-16
92700,2011-04-15
92800,2011-03-02
92900,2011-02-23
93200,2011-03-16
94000,2011-03-01
94200,2011-06-08
94300,2012-05-11
94400,2014-01-13
94590,2011-06-30
94620,2011-04-27
95000,2013-06-26
95300,2011-04-29
95400,2014-05-26
95700,2011-06-15
95900,2011-07-15
96000,2011-04-22
96100,2016-03-18
96200,2011-05-11
96800,2012-05-10
96900,2013-03-14
97000,2011-06-17
97100,2011-05-04
97110,2011-08-24
97120,2011-08-24
97130,2011-08-24
97330,2012-06-20
98100,2011-08-08
98200,2011-05-26
98300,2012-04-27
98400,2012-07-12
98500,2011-05-25
98600,2011-09-19
98800,2011-07-13
98900,2011-08-19
99100,2011-06-24
99120,2011-04-28
99300,2011-10-26
99400,2011-05-09
99410,2012-09-24
99700,2011-03-01
99900,2011-06-14
99910,2011-08-31
100980,2012-10-02
102200,2011-07-20
102400,2011-06-10
102500,2012-02-09
102600,2011-10-11
102810,2011-08-30
102840,2012-02-07
102850,2012-03-21
104000,2011-05-26
104020,2012-01-19
104100,2011-05-14
104200,2011-05-06
104900,2013-04-16
105000,2012-12-11
105100,2011-05-09
105300,2011-06-20
105420,2013-04-03
105450,2012-01-05
105600,2011-05-16
105700,2011-07-18
105800,2012-02-02
107100,2011-08-16
107200,2011-08-15
107300,2011-07-13
107310,2011-07-13
107410,2013-09-12
107600,2011-11-16
108110,2012-02-16
108200,2012-05-24
108210,2011-10-12
108500,2012-03-01
108600,2013-11-08
108700,2012-08-03
108710,2012-02-16
108800,2011-03-22
109200,2011-07-26
109500,2012-03-21
109600,2013-12-05
109700,2011-08-29
110400,2011-10-31
110500,2011-10-24
110600,2011-09-15
110610,2011-10-18
110630,2012-03-21
110800,2011-11-08
111000,2011-08-10
111010,2011-09-23
111100,2012-02-03
111400,2011-09-21
